"HolderAddress","Quantity","PendingBalanceUpdate"
"0xe0b73e751e7bba93023c5c2275596ded8a17ba30","1500","No"
"0x7af26b234c06a1019a93b97ce58ef473fa3cca60","660","No"
"0x0e7cdb5ff1ea75c5cc320b88b0c932ad3ec65139","560","No"
"0x7ad8abe9971173acf95dae4c88a5c5ad71f4714c","450","No"
"0x5b9ca0eb0092c872bbffe6b5a90ae5658fac09d8","444","No"
"0xa7888f85bd76deef3bd03d4dbcf57765a49883b3","330","No"
"0x54be3a794282c030b15e43ae2bb182e14c409c5e","319","No"
"0x3cfec2cfefffa3ddd6381e5194b06ed416717d58","300","No"
"0xa5a32eed9079269e576ea0c04f0327be7407f937","250","No"
"0xf0462427a46a36baa325f4bbd3789209116cdbe0","250","No"
"0x2b47c57a4c9fc1649b43500f4c0cda6cf29be278","216","No"
"0x5c90985b8adeb9ef6483199f138b9c1b6a555474","200","No"
"0xd684fe7363fcfb758ad0829f3899eb70178be935","170","No"
"0x3527f68ba904e2d1b240ffe92c603546451f320c","164","No"
"0x2870c267c6be0f092cb1e55a670deff2a06e8b0c","160","No"
"0xad490066fedddb64bafc266dca033a84ac5c900b","140","No"
"0x588888242ff05458b82676d10951b1eb8fa7a1b3","140","No"
"0xa9e734d74992d07783afde3002440dc234405818","134","No"
"0xd2823bc952698eca836e2be71eb6c6141c3b55bb","125","No"
"0x625b2167c74c40684228499f3baff96b5f4e887d","118","No"
"0x8b0d15ac244f6cee45ccf32215f3c9c2e30219c6","112","No"
"0x17bb6b65b7b5bd3651782ccf2e01c2c9c34ea0fb","108","No"
"0x8c9f84f0cf66e6cbe5192e77db5d67aa3ba19210","103","No"
"0xa4317ab9d7df7453d8e0853415e04f7e3a78f78f","103","No"
"0xbb314b9ad7ca68399ebddf87b07e58f3ccc5a41a","102","No"
"0x859e3de0691519b3dadf2bc432ecdcc0bb2e783d","102","No"
"0xf18e8b1c07ca1b808d1e4a5f0ca04422a42d6f54","102","No"
"0x3e2897b21f7d4f73d4496ebc8eaa242bf9f0c3d2","100","No"
"0x48f305bae165723c8d06d7f53a66bff4907534f5","100","No"
"0xa2bbd09ffe6a96ba31aae13118a5997a93034d80","100","No"
"0x461396369278bc6d3e3c3891bbb6b74fe579084d","100","No"
"0x7d21d6f8e03746bef7fb64710c1569505f76dc18","100","No"
"0x9f905e1125552632208c06040978919259273b99","100","No"
"0x1b9eb9b7175aef51b69263bb172f6df7fa5543f0","100","No"
"0xf0314ed38e328cdcb547ba1d63606e9f463653ab","100","No"
"0x9356497db936c463eb9d49cb2ba2b46b6f0b3964","100","No"
"0x428acb3e461904924cb5bbb690b710b06d4bb0a9","100","No"
"0xb8043d916d740408ead11a812146905816884c29","100","No"
"0xd5bc6e504dfd320bfc3ebc6693497387a117c7ba","100","No"
"0xdfc26519a441021b600d9f8eda264c00a637e767","99","No"
"0x0c69f72986f8f4495615015bb838bb2c9299192b","98","No"
"0x8cf82ef63f7d93a8a8821f626e3a2bfe05aeffa9","90","No"
